id,categoryId,name,nameAr,price,img,desc,descAr,note,noteAr,sizes,sizesAr,extras,extrasAr
13,dessert,לוטוס,لوتس,32,loutus.webp,קרם לוטוס וגבינת שמנת עשירה על בסיס קרמבל עוגיות לוטוס פריך בציפוי ממרח לוטוס,كريمة لوتس وجبن كريمي غني على قاعدة كرامبل بسكويت لوتس مقرمش بمعجون لوتس,,,,,,
14,dessert,עוגת אלפחורס,كيكة ألفاجوريس,33,אלפחורוס.jpeg,"בסיס עוגיית אלפחורס גדולה, קרם ריבת חלב, ליבת קרם קוקוס, דקואז קוקוס, בציפוי גלאסז׳ קרמל","قاعدة بسكويت ألفاجوريس كبيرة، كريمة دولسي دي ليتشي، مركز كريمة جوز الهند، داكواز جوز الهند، بغلاساج كراميل",,,,,,
15,dessert,סופלה אלפרדו,سوفليه ألفريدو,33,surprise.webp,פונדנט שוקולד חם עם טראפל שוקולד לבן בתוכו בציפוי של גנאש שוקולד חלב,فوندان شوكولاتة ساخن بداخله تروف شوكولاتة بيضاء مغطى بغاناش شوكولاتة الحليب,עוגה חמה,كيكة ساخنة,,,,
16,dessert,מאפינס שוקולד,مافن شوكولاتة,13,מאפינס שוקו.jpeg,,,,,,,,
17,dessert,סברינה,سابرينا,20,sabarina.webp,בצק אורירי ספוג בסירופ נהדר ומעליו שמנת מתוקה טרייה,عجينة إسفنجية منقوعة بشراب رائع ومغطاة بكريمة حلوة طازجة,,,,,,
18,dessert,כדורי שוקולד,كرات شوكولاتة,5,chocolate-balls.webp,כדורי שוקולד בלגי איכותי בציפוי קוקוס,كرات شوكولاتة بلجيكية فاخرة بتغطية جوز الهند,,,,,,
19,dessert,גליליות ארוכות,لفائف طويلة,12,katsrot.webp,גלילית ופל במילוי שמנת מתוקה וציפוי שוקולד בלגי,لفيفة وافل محشوة بكريمة حلوة ومغطاة بشوكولاتة بلجيكية,,,,,,
20,dessert,אלפחורס,ألفاجوريس,10,alphakores.webp,כריך משתי עוגיות שביניהן מרוחה ריבת חלב,ساندويش بسكويتين بينهما دولسي دي ليتشي,,,,,,
21,dessert,דונאט,دونات,10,donuts 2.webp,,,,,,,,
22,special-morning,סלט אישי,سلطة فردية,25,סלט עלים וחסה.png,"חסה, עגבניות שירי צבעוני, בצל סגול, אגוזים, גבינה בולגרית","خس، طماطم كرزية ملونة، بصل أحمر، مكسرات، جبنة بلغارية",,,,,,
23,special-morning,סלט אישי טונה,سلطة تونة فردية,45,סלטטונה.png,"חסה, עגבניות, בצל סגול, טונה (26 גרם חלבון), ביצה קשה, גבינה בולגרית ואגוזים","خس، طماطم، بصل أحمر، تونة (26 غرام بروتين)، بيضة مسلوقة، جبنة بلغارية ومكسرات",,,,,,
26,special-morning,פאי עגבניות שירי,فطيرة طماطم كرزية,49,paitometo.png,"בצק פריך, גבינות ורויאל במילוי עגבניות שרי ומוצרלה, מוגשת עם סלט אישי קטן לבחירה","عجين هش، جبن ورويال محشو بطماطم كرزية وموتزاريلا، يقدم مع سلطة فردية صغيرة",,,,,,
27,special-morning,פאי אנטיפסטי,فطيرة أنتيباستي,49,paiantipasti.png,"בצק פריך, גבינות ורויאל במילוי זוקיני, פלפלים, חצילים, ובטטות, מוגשת עם סלט אישי קטן לבחירה","عجين هش، جبن ورويال محشو بكوسا، فلفل، باذنجان وبطاطا حلوة، يقدم مع سلطة فردية صغيرة",,,,,,
28,special-morning,סנדוויץ בורקס,ساندويش بوريكاس,25,סנדוויץ.webp,"גבינה או תפוח אדמה, רוטב פסטו, עגבניות, מלפפון חמוץ","جبن أو بطاطا، صلصة بيستو، طماطم، مخلل",,,,,,ביצה קשה:5,بيضة مسلوقة:5
29,special-morning,בורקס עגלה,بوريكاس عجلة,25,עגלה.webp,"גבינה / תפוח אדמה / פטריות, מוגש עם מלפפון חמוץ זיתים ורוטב עגבניות","جبن / بطاطا / فطر، يقدم مع مخلل وزيتون وصلصة طماطم",,,,,,תרד וגבינה:3|ביצה:5,سبانخ وجبن:3|بيضة:5
30,special-morning,טוסט הבית,توست البيت,30,toast.webp,"מיקס גבינה צהובה ובולגרית עם רוטב הבית, זיתים ותירס","خليط جبن أصفر وبلغاري مع صلصة البيت، زيتون وذرة",,,,,,
31,special-morning,פיתה עם זעתר,خبز مع زعتر,14,za3tar.webp,,,,,,,,
32,special-morning,פיתה עם בצל,خبز مع בصل,16,בצל.webp,,,,,,,,
33,special-morning,פיתה עם גבינה,خبز مع جبن,17,cheesejpg.webp,,,,,,,,
34,special-morning,פיצה אישית,بيتزا فردية,18,פיצה.webp,,,,,,, זיתים ותירס:2,زيتون وذرة:2
35,special-morning,שתי מקלות גבינה,عصيتان بالجبن,20,מקלל.webp,גבינה / גבינה חריפה,جبن / جبن حار,,,,,מקל נוסף:8,عصا إضافية:8
36,special-morning,בורקס אישי גבינה / תפו"א,بوريكاس فردي جبن/بطاطا,17,אישי גבינה.webp,,,,,,,,
37,personal-pastry,קרואסון חמאה,كرواسان زبدة,10,חמאה.webp,,,,,,,,
38,personal-pastry,קרואסון שוקולד,كرواسان شوكولاتة,10,croissant.webp,,,,,,,,
39,personal-pastry,קרואסון שקדים,كرواسان لوز,10,שקדים 12.jpg,,,,,,,,
40,personal-pastry,חלבה שוקולד,حلاوة شوكولاتة,10,חלבה.webp,,,,,,,,
41,personal-pastry,קרואסון גבינה,كرواسان جبن,10,גביניותjpg.webp,,,,,,,,
42,personal-pastry,קינמון,قرفة,10,קינמון אישי.webp,,,,,,,,
43,personal-pastry,רוגלך,روجلاخ,10,רוגלך.webp,,,,,,,,
44,personal-pastry,מאפינס שוקולד,مافن شوكولاتة,13,מאפינס שוקו.jpeg,,,,,,,,
45,sandwish,ברוסקטה אבוקדו,بروسكتا أفوكادو,48,ברוסקטה אבוקדו.png,"שתי פרוסות אבוקדו עם לבנה 5% (לחם מחמצת ללא סוכר), מוגשת עם שתי ביצים קשות, צלחת טונה, זיתים ירוקים וסלט אישי קטן","شريحتان أفوكادو مع لبنة 5% (خبز خميرة بدون سكر)، يقدم مع بيضتين مسلوقتين وتونة وزيتون أخضر وسلطة فردية صغيرة",,,,,,
46,sandwish,ברוסקטה סלמון מעושן,بروسكتا سلمون مدخن,55,ברוסקטה סלמון.png,"שתי פרוסות סלמון מעושן עם גבינת שמנת (לחם מחמצת ללא סוכר), מוגשת עם שתי ביצים קשות, צלחת אבוקדו, זיתים ירוקים וסלט","شريحتان سلمون مدخن مع جبن كريمي (خبز خميرة بدون سكر)، يقدم مع بيضتين مسلوقتين وأفوكادو وزيتون أخضر وسلطة",,,,,,
47,sandwish,The Club Sandwich,كلوب ساندويش,45,the club.png,"סנדוויץ אווז, סלמי, גבינה צהובה, גבינת שמנת, ממרח פלפלים, עגבניות, ומלפפון חמוץ, מוגש עם קראנצ׳ ציפס","ساندويش أوز، سلامي، جبن أصفر، جبن كريمي، معجون فلفل، طماطم ومخلل، يقدم مع شيبس مقرمش",,,,,,
48,sandwish,קרואסון סלמון מעושן,كرواسان سلمون مدخن,55,קרואסון סלמון חדש.png,"קרואסון חמאה אישי, סלמון מעושן, גבינת שמנת, חסה, מלפפון חמוץ, בצל סגול, וגרידת פרמזן","كرواسان زبدة فردي، سلمون مدخن، جبن كريمي، خس، مخلل، بصل أحمر وبرش بارميزان",,,,, ,אבוקדו:7|ביצה:5,أفوكادو:7|بيضة:5
49,sandwish,קרואסון אווז וגבינה מעושנת,كرواسان أوز وجبن مدخن,35,אווז וגבינה מעושנת חדש.png,"קרואסון חמאה אישי, אווז, גבינה מעושנת, חסה, מלפפון חמוץ","كرواسان زبدة فردي، أوز، جبن مدخن، خس، مخلل",,,,, ,אבוקדו:7|ביצה:5,أفوكادو:7|بيضة:5
50,sandwish,המיוחד שלנו,مميزتنا,35,פרינה.webp,"לחם פרינה עם כתף בקר וגבינה צהובה על פלטה חמה, רוטב פסטו ואיולי, חסה ומלפפון חמוץ","خبز فرينا مع كتف بقري وجبن أصفر على صاج ساخن، صلصة بيستو وأيولي، خس ومخلل",,,,,,
51,sandwish,כריך אבוקדו,ساندويش أفوكادو,35,avocado.jpg,"לחם פרינה עם אבוקדו, בצל סגול, עגבניות, וחסה","خبز فرينا مع أفوكادو، بصل أحمر، طماطم وخس",,,,,,
52,sandwish,גבטה בולגרית,خبز بلغاري,25,בולגרית.webp,"לבחירה גבטה כפרית / גבטה רגילה, רוטב פסטו, עגבניות, חסה, מלפפון חמוץ","اختيار خبز ريفي / خبز عادي، صلصة بيستو، طماطم، خس، مخلل",,,,,,
53,sandwish,בגט / גבטה טונה,باجيت/خبز تونة,30,גבטה טונה.png,"לבחירה לחם כפרי / לחם רגיל, חסה, בצל, מלפפון חמוץ, ממרח מיונז עם תירס וזעתר","اختيار خبز ريفي / خبز عادي، خس، بصل، مخلل، معجون مايونيز مع ذرة وزعتر",,,,, ,ביצה:5,بيضة:5
54,sandwish,בגט נקניקיות גריל,باجيت نقانق مشوية,22,hotdog.webp,נקניקיות חריפות / רגילות כולל כל התוספות,نقانق حارة / عادية مع جميع الإضافات,,,,,,
55,hot-drinks,סחלב,سحلب,20,סחלבjpeg.webp,,,,,,,,
56,hot-drinks,לאטה וניל,لاتيه فانيليا,18,vanilla.png,,,,,,,,
57,hot-drinks,לאטה קרמל,لاتيه كراميل,18,caramel.png,,,,,,,,
58,hot-drinks,לאטה שוקולד,لاتيه شوكولاتة,18,chocolate.png,,,,,,,,
59,hot-drinks,טופי אספרסו,توفي إسبريسو,14,toffe.png,,,,,,,,
60,hot-drinks,מקיאטו שוקולד,ماكياتو شوكولاتة,14,macchiato.png,,,,,,,,
61,hot-drinks,Triple Chocolate,تريبل شوكولاتة,18,triple.png,,,,,,,,
62,hot-drinks,הפוך / קפוצ'ינו / נס,مقلوب / كابتشينو / نس,15,latte.webp,,,,,,,,
63,hot-drinks,אספרסו,إسبريسو,7,espresso.webp,,,,קצר:7|ארוך:7|כפול:14,قصير:7|طويل:7|مضاعف:14,,
64,hot-drinks,שוקו חם,شوكو ساخن,15,hotchocolate.webp,,,,,,,מרשמלו:5|קצפת:3,مارشميلو:5|كريمة:3
65,hot-drinks,אמריקנו,أمريكانو,10,americano.webp,,,,,,,,
66,hot-drinks,מקיאטו,ماكياتو,10,macchiato.webp,,,,,,,,
67,hot-drinks,תה,شاي,12,tea.webp,,,"קנקן תה ליחיד ₪20","إبريق شاي للفرد ₪20",,,,
68,hot-drinks,קנקן תה,إبريق شاي,28,teaנןע.png,,,,,,,,
69,cold-drinks,סחוט טבעי,عصير طبيعي,20,jucie orange.webp,,,,,,,,
70,cold-drinks,קפה קר קרמל,قهوة باردة كراميل,13,iced caramel.png,,,,קטן:13|גדול:18,صغير:13|كبير:18,,
71,cold-drinks,קפה קר וניל,قهوة باردة فانيليا,13,iced vanilla.png,,,,קטן:13|גדול:18,صغير:13|كبير:18,,
72,cold-drinks,קפה קר שוקולד,قهوة باردة شوكولاتة,13,iced chocolate.png,,,,קטן:13|גדול:18,صغير:13|كبير:18,,
73,cold-drinks,קפה קר,قهوة باردة,10,cold coffee.webp,,,,קטן:10|גדול:15,صغير:10|كبير:15,קצפת:3,كريمة:3
74,cold-drinks,שוקו קר,شوكو بارد,10,shokochocolate.webp,,,,קטן:10|גדול:15,صغير:10|كبير:15,קצפת:3,كريمة:3
76,cold-drinks,מילקשייק תות,ميلك شيك فراولة,25,tott.webp,,,,,,,,
77,cold-drinks,מילקשייק שוקולד,ميلك شيك شوكولاتة,25,shokomilk.webp,,,,,,,,
78,cold-drinks,שייקפה שוקולד,شيكافيه شوكولاتة,25,shokomilk.webp,מילקשייק שוקולד ואספרסו,ميلك شيك شوكولاتة وإسبريسو,,,,,,
